day,feature,model,requests,usd
1,pediatric_triage,gpt-4o-mini,499,0.029
1,pediatric_triage,gpt-4o,167,0.2534
1,chronic_care_referral,gpt-4o-mini,499,0.0302
1,chronic_care_referral,gpt-4o,167,0.2497
1,insurance_routing,gpt-4o-mini,499,0.0298
1,insurance_routing,gpt-4o,167,0.2547
2,pediatric_triage,gpt-4o-mini,499,0.029
2,pediatric_triage,gpt-4o,167,0.2526
2,chronic_care_referral,gpt-4o-mini,499,0.0293
2,chronic_care_referral,gpt-4o,167,0.2455
2,insurance_routing,gpt-4o-mini,499,0.0299
2,insurance_routing,gpt-4o,167,0.2559
3,pediatric_triage,gpt-4o-mini,499,0.0304
3,pediatric_triage,gpt-4o,167,0.2534
3,chronic_care_referral,gpt-4o-mini,499,0.0304
3,chronic_care_referral,gpt-4o,167,0.2538
3,insurance_routing,gpt-4o-mini,499,0.0299
3,insurance_routing,gpt-4o,167,0.2459
4,pediatric_triage,gpt-4o-mini,499,0.0306
4,pediatric_triage,gpt-4o,167,0.2497
4,chronic_care_referral,gpt-4o-mini,499,0.0299
4,chronic_care_referral,gpt-4o,167,0.2488
4,insurance_routing,gpt-4o-mini,499,0.0293
4,insurance_routing,gpt-4o,167,0.2551
5,pediatric_triage,gpt-4o-mini,499,0.0305
5,pediatric_triage,gpt-4o,167,0.2522
5,chronic_care_referral,gpt-4o-mini,499,0.0297
5,chronic_care_referral,gpt-4o,167,0.2543
5,insurance_routing,gpt-4o-mini,499,0.03
5,insurance_routing,gpt-4o,167,0.2497
6,pediatric_triage,gpt-4o-mini,499,0.0298
6,pediatric_triage,gpt-4o,167,0.2472
6,chronic_care_referral,gpt-4o-mini,499,0.029
6,chronic_care_referral,gpt-4o,167,0.2509
6,insurance_routing,gpt-4o-mini,499,0.0307
6,insurance_routing,gpt-4o,167,0.2451
7,pediatric_triage,gpt-4o-mini,499,0.0307
7,pediatric_triage,gpt-4o,167,0.2543
7,chronic_care_referral,gpt-4o-mini,499,0.0294
7,chronic_care_referral,gpt-4o,167,0.2518
7,insurance_routing,gpt-4o-mini,499,0.0292
7,insurance_routing,gpt-4o,167,0.2534
8,pediatric_triage,gpt-4o-mini,499,0.0303
8,pediatric_triage,gpt-4o,167,0.2484
8,chronic_care_referral,gpt-4o-mini,499,0.029
8,chronic_care_referral,gpt-4o,167,0.2559
8,insurance_routing,gpt-4o-mini,499,0.0298
8,insurance_routing,gpt-4o,167,0.2551
9,pediatric_triage,gpt-4o-mini,499,0.0302
9,pediatric_triage,gpt-4o,167,0.2534
9,chronic_care_referral,gpt-4o-mini,499,0.0305
9,chronic_care_referral,gpt-4o,167,0.2467
9,insurance_routing,gpt-4o-mini,499,0.0296
9,insurance_routing,gpt-4o,167,0.2501
10,pediatric_triage,gpt-4o-mini,499,0.0299
10,pediatric_triage,gpt-4o,167,0.2451
10,chronic_care_referral,gpt-4o-mini,499,0.03
10,chronic_care_referral,gpt-4o,167,0.2463
10,insurance_routing,gpt-4o-mini,499,0.0304
10,insurance_routing,gpt-4o,167,0.2526
11,pediatric_triage,gpt-4o-mini,499,0.0308
11,pediatric_triage,gpt-4o,167,0.253
11,chronic_care_referral,gpt-4o-mini,499,0.0296
11,chronic_care_referral,gpt-4o,167,0.2559
11,insurance_routing,gpt-4o-mini,499,0.0297
11,insurance_routing,gpt-4o,167,0.2484
12,pediatric_triage,gpt-4o-mini,499,0.0308
12,pediatric_triage,gpt-4o,167,0.2488
12,chronic_care_referral,gpt-4o-mini,499,0.029
12,chronic_care_referral,gpt-4o,167,0.2501
12,insurance_routing,gpt-4o-mini,499,0.0305
12,insurance_routing,gpt-4o,167,0.2467
13,pediatric_triage,gpt-4o-mini,499,0.0298
13,pediatric_triage,gpt-4o,167,0.2459
13,chronic_care_referral,gpt-4o-mini,499,0.0303
13,chronic_care_referral,gpt-4o,167,0.2501
13,insurance_routing,gpt-4o-mini,499,0.0296
13,insurance_routing,gpt-4o,167,0.2472
14,pediatric_triage,gpt-4o-mini,499,0.03
14,pediatric_triage,gpt-4o,167,0.2522
14,chronic_care_referral,gpt-4o-mini,499,0.0308
14,chronic_care_referral,gpt-4o,167,0.2497
14,insurance_routing,gpt-4o-mini,499,0.0292
14,insurance_routing,gpt-4o,167,0.2543
15,pediatric_triage,gpt-4o-mini,499,0.0302
15,pediatric_triage,gpt-4o,167,0.2526
15,chronic_care_referral,gpt-4o-mini,499,0.029
15,chronic_care_referral,gpt-4o,167,0.248
15,insurance_routing,gpt-4o-mini,499,0.0305
15,insurance_routing,gpt-4o,167,0.2543
16,pediatric_triage,gpt-4o-mini,499,0.0298
16,pediatric_triage,gpt-4o,167,0.2538
16,chronic_care_referral,gpt-4o-mini,499,0.0306
16,chronic_care_referral,gpt-4o,167,0.2488
16,insurance_routing,gpt-4o-mini,499,0.0308
16,insurance_routing,gpt-4o,167,0.248
17,pediatric_triage,gpt-4o-mini,499,0.0293
17,pediatric_triage,gpt-4o,167,0.2526
17,chronic_care_referral,gpt-4o-mini,499,0.0302
17,chronic_care_referral,gpt-4o,167,0.2459
17,insurance_routing,gpt-4o-mini,499,0.0306
17,insurance_routing,gpt-4o,167,0.2467
18,pediatric_triage,gpt-4o-mini,499,0.0305
18,pediatric_triage,gpt-4o,167,0.2447
18,chronic_care_referral,gpt-4o-mini,499,0.0305
18,chronic_care_referral,gpt-4o,167,0.2538
18,insurance_routing,gpt-4o-mini,499,0.0305
18,insurance_routing,gpt-4o,167,0.2522
19,pediatric_triage,gpt-4o-mini,499,0.0299
19,pediatric_triage,gpt-4o,167,0.2526
19,chronic_care_referral,gpt-4o-mini,499,0.0294
19,chronic_care_referral,gpt-4o,167,0.2534
19,insurance_routing,gpt-4o-mini,499,0.03
19,insurance_routing,gpt-4o,167,0.2497
20,pediatric_triage,gpt-4o-mini,499,0.0299
20,pediatric_triage,gpt-4o,167,0.2509
20,chronic_care_referral,gpt-4o-mini,499,0.029
20,chronic_care_referral,gpt-4o,167,0.2459
20,insurance_routing,gpt-4o-mini,499,0.0293
20,insurance_routing,gpt-4o,167,0.2459
21,pediatric_triage,gpt-4o-mini,499,0.0298
21,pediatric_triage,gpt-4o,167,0.2522
