question,input_length,rouge_l,latency_ms,token_count
Has the new MoH policy changed our clinical referral rules?,10,0.2024,980.0,380
My infant has a sudden rash and high fever - what are my triage options?,15,0.3304,1109.0,343
What documents do I need for a standard clinical lab screening?,11,0.294,1225.0,228
What documents do I need for a standard clinical lab screening?,11,0.2446,1072.0,441
I need to restructure an emergency chronic care plan.,9,0.3396,1203.0,431
How long does it take to process outpatient laboratory results?,10,0.3869,875.0,339
What documents do I need for a standard clinical lab screening?,11,0.2073,1356.0,413
Can I book an inpatient clinical appointment online?,8,0.3566,950.0,349
Has the new MoH policy changed our clinical referral rules?,10,0.4541,1123.0,237
My infant has a sudden rash and high fever - what are my triage options?,15,0.4243,1114.0,232
What documents do I need for a standard clinical lab screening?,11,0.4949,1451.0,278
Can I book an inpatient clinical appointment online?,8,0.3101,1294.0,430
What documents do I need for a standard clinical lab screening?,11,0.3816,1374.0,430
Can I book an inpatient clinical appointment online?,8,0.2528,1237.0,253
I need to restructure an emergency chronic care plan.,9,0.4147,748.0,263
I need to restructure an emergency chronic care plan.,9,0.2353,692.0,226
Can I book an inpatient clinical appointment online?,8,0.3084,1244.0,399
Has the new MoH policy changed our clinical referral rules?,10,0.4502,1115.0,426
My infant has a sudden rash and high fever - what are my triage options?,15,0.4603,824.0,449
Has the new MoH policy changed our clinical referral rules?,10,0.1937,1089.0,391
How long does it take to process outpatient laboratory results?,10,0.3607,1093.0,436
How long does it take to process outpatient laboratory results?,10,0.1646,1082.0,421
How long does it take to process outpatient laboratory results?,10,0.2256,1234.0,449
How long does it take to process outpatient laboratory results?,10,0.3593,912.0,425
My infant has a sudden rash and high fever - what are my triage options?,15,0.2889,888.0,206
How long does it take to process outpatient laboratory results?,10,0.325,1291.0,388
Can I book an inpatient clinical appointment online?,8,0.2511,1201.0,400
My infant has a sudden rash and high fever - what are my triage options?,15,0.2876,941.0,405
I need to restructure an emergency chronic care plan.,9,0.3214,893.0,421
I need to restructure an emergency chronic care plan.,9,0.2857,860.0,407
How long does it take to process outpatient laboratory results?,10,0.4872,1107.0,268
How long does it take to process outpatient laboratory results?,10,0.274,1143.0,401
