id,channel,feature,model,run_mode,question,reference,hypothesis,bleu_4,rouge_1,rouge_2,rouge_l,token_f1,correctness,groundedness,relevance,helpfulness,judge_overall,reasoning
q1,USSD,pediatric_triage,gpt-4o-mini,offline,What indicators require immediate escalation for pediatric fever?,"Pediatric fever requires immediate clinical escalation if the child is under three months old, exhibits a temperature exceeding 39 degrees Celsius, displays persistent lethargy, or struggles with labored breathing patterns.","Pediatric fever requires immediate clinical escalation if the child is under three months old, exhibits a temperature exceeding 39 degrees Celsius, displays persistent lethargy, or struggles with labored breathing patterns.",1.0,1.0,1.0,1.0,1.0,5,5,4,5,4.8,Offline fallback scores derived from token overlap with the reference protocol.
q1,USSD,pediatric_triage,gpt-4o,offline,What indicators require immediate escalation for pediatric fever?,"Pediatric fever requires immediate clinical escalation if the child is under three months old, exhibits a temperature exceeding 39 degrees Celsius, displays persistent lethargy, or struggles with labored breathing patterns.","Pediatric fever requires immediate clinical escalation if the child is under three months old, exhibits a temperature exceeding 39 degrees Celsius, displays persistent lethargy, or struggles with labored breathing patterns.",1.0,1.0,1.0,1.0,1.0,5,5,4,5,4.8,Offline fallback scores derived from token overlap with the reference protocol.
q2,USSD,pediatric_triage,gpt-4o-mini,offline,When should a child with diarrhea be referred from a USSD triage line?,"Refer immediately if the child is under 12 months, has blood in stool, cannot keep fluids down, or shows sunken eyes. Otherwise advise oral rehydration and reassess within 24 hours.","Refer immediately if the child is under 12 months, has blood in stool, cannot keep fluids down, or shows sunken eyes.",0.6807,0.8235,0.8163,0.8235,0.8235,5,5,4,5,4.8,Offline fallback scores derived from token overlap with the reference protocol.
q2,USSD,pediatric_triage,gpt-4o,offline,When should a child with diarrhea be referred from a USSD triage line?,"Refer immediately if the child is under 12 months, has blood in stool, cannot keep fluids down, or shows sunken eyes. Otherwise advise oral rehydration and reassess within 24 hours.","Refer immediately if the child is under 12 months, has blood in stool, cannot keep fluids down, or shows sunken eyes. Otherwise advise oral rehydration and reassess within 24 hours.",1.0,1.0,1.0,1.0,1.0,5,5,4,5,4.8,Offline fallback scores derived from token overlap with the reference protocol.
q3,Mobile App,pediatric_triage,gpt-4o-mini,offline,What is the baseline observation duration for acute diarrhea before referral?,"Initial monitoring is conducted for up to 48 hours for standard adult presentations. If symptoms persist past 48 hours, or are accompanied by severe dehydration or high fever, immediate escalation to a medical officer is mandatory.",Initial monitoring is conducted for up to 48 hours for standard adult presentations.,0.1561,0.5306,0.5106,0.5306,0.5306,4,4,4,4,4.0,Offline fallback scores derived from token overlap with the reference protocol.
q3,Mobile App,pediatric_triage,gpt-4o,offline,What is the baseline observation duration for acute diarrhea before referral?,"Initial monitoring is conducted for up to 48 hours for standard adult presentations. If symptoms persist past 48 hours, or are accompanied by severe dehydration or high fever, immediate escalation to a medical officer is mandatory.","Initial monitoring is conducted for up to 48 hours for standard adult presentations. If symptoms persist past 48 hours, or are accompanied by severe dehydration or high fever, immediate escalation to a medical officer is mandatory.",1.0,1.0,1.0,1.0,1.0,5,5,4,5,4.8,Offline fallback scores derived from token overlap with the reference protocol.
q4,Mobile App,pediatric_triage,gpt-4o-mini,offline,How should the app route a toddler with a seizure lasting more than five minutes?,"A seizure lasting more than five minutes is an emergency. Route to Emergency Services immediately, keep the airway clear, and do not give oral medication until a clinician assesses the child.",A seizure lasting more than five minutes is an emergency.,0.1128,0.4878,0.4615,0.4878,0.4878,4,4,4,4,4.0,Offline fallback scores derived from token overlap with the reference protocol.
q4,Mobile App,pediatric_triage,gpt-4o,offline,How should the app route a toddler with a seizure lasting more than five minutes?,"A seizure lasting more than five minutes is an emergency. Route to Emergency Services immediately, keep the airway clear, and do not give oral medication until a clinician assesses the child.","A seizure lasting more than five minutes is an emergency. Route to Emergency Services immediately, keep the airway clear, and do not give oral medication until a clinician assesses the child.",1.0,1.0,1.0,1.0,1.0,5,5,4,5,4.8,Offline fallback scores derived from token overlap with the reference protocol.
q5,Web Portal,pediatric_triage,gpt-4o-mini,offline,Which red flags mean a school-age child with asthma should skip primary care?,"Skip primary care and route to emergency care if the child cannot speak full sentences, has blue lips, or shows no improvement after the first reliever dose. Document peak-flow only if the child can cooperate.","Skip primary care and route to emergency care if the child cannot speak full sentences, has blue lips, or shows no improvement after the first reliever dose.",0.748,0.8571,0.8525,0.8571,0.871,5,5,4,5,4.8,Offline fallback scores derived from token overlap with the reference protocol.
q5,Web Portal,pediatric_triage,gpt-4o,offline,Which red flags mean a school-age child with asthma should skip primary care?,"Skip primary care and route to emergency care if the child cannot speak full sentences, has blue lips, or shows no improvement after the first reliever dose. Document peak-flow only if the child can cooperate.","Skip primary care and route to emergency care if the child cannot speak full sentences, has blue lips, or shows no improvement after the first reliever dose. Document peak-flow only if the child can cooperate.",1.0,1.0,1.0,1.0,1.0,5,5,4,5,4.8,Offline fallback scores derived from token overlap with the reference protocol.
q6,USSD,chronic_care_referral,gpt-4o-mini,offline,When must an adult with diabetes be referred from USSD to a medical officer?,"Refer the same day if random glucose exceeds 16.7 mmol/L, if there is vomiting with confusion, or if there are signs of foot infection. Stable patients with missed tablets are booked to primary care within 72 hours.",Refer the same day if random glucose exceeds 16.,0.0353,0.375,0.3478,0.375,0.3478,3,4,4,3,3.5,Offline fallback scores derived from token overlap with the reference protocol.
q6,USSD,chronic_care_referral,gpt-4o,offline,When must an adult with diabetes be referred from USSD to a medical officer?,"Refer the same day if random glucose exceeds 16.7 mmol/L, if there is vomiting with confusion, or if there are signs of foot infection. Stable patients with missed tablets are booked to primary care within 72 hours.","Refer the same day if random glucose exceeds 16.7 mmol/L, if there is vomiting with confusion, or if there are signs of foot infection. Stable patients with missed tablets are booked to primary care within 72 hours.",1.0,1.0,1.0,1.0,1.0,5,5,4,5,4.8,Offline fallback scores derived from token overlap with the reference protocol.
q7,Mobile App,chronic_care_referral,gpt-4o-mini,offline,What follow-up window applies after a hypertension reading of 180/110 in the app?,"A reading of 180/110 mmHg with headache or visual change is urgent: route to Urgent Care the same day. Isolated high readings without symptoms are repeated after 30 minutes rest, then referred to primary care within 48 hours.",A reading of 180/110 mmHg with headache or visual change is urgent: route to Urgent Care the same day.,0.3679,0.678,0.6667,0.678,0.6667,4,5,4,4,4.2,Offline fallback scores derived from token overlap with the reference protocol.
q7,Mobile App,chronic_care_referral,gpt-4o,offline,What follow-up window applies after a hypertension reading of 180/110 in the app?,"A reading of 180/110 mmHg with headache or visual change is urgent: route to Urgent Care the same day. Isolated high readings without symptoms are repeated after 30 minutes rest, then referred to primary care within 48 hours.","A reading of 180/110 mmHg with headache or visual change is urgent: route to Urgent Care the same day. Isolated high readings without symptoms are repeated after 30 minutes rest, then referred to primary care within 48 hours.",1.0,1.0,1.0,1.0,1.0,5,5,4,5,4.8,Offline fallback scores derived from token overlap with the reference protocol.
q8,Mobile App,chronic_care_referral,gpt-4o-mini,offline,How long can a stable HIV refill wait before a clinician review is required?,"Stable refill requests with no new symptoms may proceed for up to 30 days. Fever, rash, or missed doses for more than 72 hours require a clinician review before the next dispense.",Stable refill requests with no new symptoms may proceed for up to 30 days.,0.2466,0.6087,0.5909,0.6087,0.6087,4,4,4,4,4.0,Offline fallback scores derived from token overlap with the reference protocol.
q8,Mobile App,chronic_care_referral,gpt-4o,offline,How long can a stable HIV refill wait before a clinician review is required?,"Stable refill requests with no new symptoms may proceed for up to 30 days. Fever, rash, or missed doses for more than 72 hours require a clinician review before the next dispense.","Stable refill requests with no new symptoms may proceed for up to 30 days. Fever, rash, or missed doses for more than 72 hours require a clinician review before the next dispense.",1.0,1.0,1.0,1.0,1.0,5,5,4,5,4.8,Offline fallback scores derived from token overlap with the reference protocol.
q9,Web Portal,chronic_care_referral,gpt-4o-mini,offline,What portal rule applies to chronic asthma patients requesting steroid bursts?,Oral steroid bursts require clinician authorisation within 24 hours. Do not auto-approve more than one burst in 30 days. Wheeze at rest is routed to Urgent Care.,Oral steroid bursts require clinician authorisation within 24 hours.,0.1353,0.4865,0.4571,0.4865,0.5,4,4,4,4,4.0,Offline fallback scores derived from token overlap with the reference protocol.
q9,Web Portal,chronic_care_referral,gpt-4o,offline,What portal rule applies to chronic asthma patients requesting steroid bursts?,Oral steroid bursts require clinician authorisation within 24 hours. Do not auto-approve more than one burst in 30 days. Wheeze at rest is routed to Urgent Care.,Oral steroid bursts require clinician authorisation within 24 hours. Do not auto-approve more than one burst in 30 days. Wheeze at rest is routed to Urgent Care.,1.0,1.0,1.0,1.0,1.0,5,5,4,5,4.8,Offline fallback scores derived from token overlap with the reference protocol.
q10,Web Portal,chronic_care_referral,gpt-4o-mini,offline,When is an endocrinology referral required for type 2 diabetes on the portal?,"Refer to endocrinology if HbA1c remains above 9 percent after 90 days of adherent first-line therapy, or if there is recurrent hypoglycaemia. Primary care continues routine follow-up every 12 weeks until the referral is seen.","Refer to endocrinology if HbA1c remains above 9 percent after 90 days of adherent first-line therapy, or if there is recurrent hypoglycaemia.",0.558,0.7667,0.7586,0.7667,0.7719,4,5,4,4,4.2,Offline fallback scores derived from token overlap with the reference protocol.
q10,Web Portal,chronic_care_referral,gpt-4o,offline,When is an endocrinology referral required for type 2 diabetes on the portal?,"Refer to endocrinology if HbA1c remains above 9 percent after 90 days of adherent first-line therapy, or if there is recurrent hypoglycaemia. Primary care continues routine follow-up every 12 weeks until the referral is seen.","Refer to endocrinology if HbA1c remains above 9 percent after 90 days of adherent first-line therapy, or if there is recurrent hypoglycaemia. Primary care continues routine follow-up every 12 weeks until the referral is seen.",1.0,1.0,1.0,1.0,1.0,5,5,4,5,4.8,Offline fallback scores derived from token overlap with the reference protocol.
q11,USSD,insurance_routing,gpt-4o-mini,offline,Does Bronze cover a USSD-booked routine dental checkup?,Bronze tier does not cover routine dental checkups. Members must pay out of pocket or upgrade. Silver and Gold cover one routine checkup per year after the applicable waiting period.,Bronze tier does not cover routine dental checkups.,0.0695,0.4211,0.3889,0.4211,0.4211,4,4,5,4,4.2,Offline fallback scores derived from token overlap with the reference protocol.
q11,USSD,insurance_routing,gpt-4o,offline,Does Bronze cover a USSD-booked routine dental checkup?,Bronze tier does not cover routine dental checkups. Members must pay out of pocket or upgrade. Silver and Gold cover one routine checkup per year after the applicable waiting period.,Bronze tier does not cover routine dental checkups. Members must pay out of pocket or upgrade. Silver and Gold cover one routine checkup per year after the applicable waiting period.,1.0,1.0,1.0,1.0,1.0,5,5,5,5,5.0,Offline fallback scores derived from token overlap with the reference protocol.
q12,USSD,insurance_routing,gpt-4o-mini,offline,What waiting period applies to Silver maternity on a USSD verification?,"Silver maternity antenatal visits are covered after a 90-day waiting period. Delivery is capped at KES 80,000 and requires pre-authorisation at least 48 hours before the scheduled procedure.",Silver maternity antenatal visits are covered after a 90-day waiting period.,0.2231,0.5581,0.5366,0.5581,0.5641,4,4,4,4,4.0,Offline fallback scores derived from token overlap with the reference protocol.
q12,USSD,insurance_routing,gpt-4o,offline,What waiting period applies to Silver maternity on a USSD verification?,"Silver maternity antenatal visits are covered after a 90-day waiting period. Delivery is capped at KES 80,000 and requires pre-authorisation at least 48 hours before the scheduled procedure.","Silver maternity antenatal visits are covered after a 90-day waiting period. Delivery is capped at KES 80,000 and requires pre-authorisation at least 48 hours before the scheduled procedure.",1.0,1.0,1.0,1.0,1.0,5,5,4,5,4.8,Offline fallback scores derived from token overlap with the reference protocol.
q13,Mobile App,insurance_routing,gpt-4o-mini,offline,When does Silver require pre-authorisation for an outpatient visit in the app?,"Pre-authorisation is required for any outpatient visit with an estimated cost above KES 25,000, for dental extractions, and for maternity delivery. Submit at least 48 hours before the scheduled procedure.","Pre-authorisation is required for any outpatient visit with an estimated cost above KES 25,000, for dental extractions, and for maternity delivery.",0.6592,0.8364,0.8302,0.8364,0.8235,5,5,4,5,4.8,Offline fallback scores derived from token overlap with the reference protocol.
q13,Mobile App,insurance_routing,gpt-4o,offline,When does Silver require pre-authorisation for an outpatient visit in the app?,"Pre-authorisation is required for any outpatient visit with an estimated cost above KES 25,000, for dental extractions, and for maternity delivery. Submit at least 48 hours before the scheduled procedure.","Pre-authorisation is required for any outpatient visit with an estimated cost above KES 25,000, for dental extractions, and for maternity delivery. Submit at least 48 hours before the scheduled procedure.",1.0,1.0,1.0,1.0,1.0,5,5,4,5,4.8,Offline fallback scores derived from token overlap with the reference protocol.
q14,Web Portal,insurance_routing,gpt-4o-mini,offline,What is the Gold outpatient annual cap shown on the member portal?,"Gold outpatient visits are covered up to KES 120,000 per year with no waiting period for renewals. Claims are reimbursed within 14 business days when approved.","Gold outpatient visits are covered up to KES 120,000 per year with no waiting period for renewals.",0.5738,0.8,0.7907,0.8,0.7907,4,5,4,4,4.2,Offline fallback scores derived from token overlap with the reference protocol.
q14,Web Portal,insurance_routing,gpt-4o,offline,What is the Gold outpatient annual cap shown on the member portal?,"Gold outpatient visits are covered up to KES 120,000 per year with no waiting period for renewals. Claims are reimbursed within 14 business days when approved.","Gold outpatient visits are covered up to KES 120,000 per year with no waiting period for renewals. Claims are reimbursed within 14 business days when approved.",1.0,1.0,1.0,1.0,1.0,5,5,4,5,4.8,Offline fallback scores derived from token overlap with the reference protocol.
q15,Web Portal,insurance_routing,gpt-4o-mini,offline,How should the portal route an emergency that arrives during a waiting period?,"Emergency routing with documented red-flag criteria bypasses insurance waiting periods. Record the red-flag used, then complete verification after the patient is stabilised. Do not delay emergency dispatch for a cover check.",Emergency routing with documented red-flag criteria bypasses insurance waiting periods.,0.1128,0.5,0.4762,0.5,0.4878,4,4,4,4,4.0,Offline fallback scores derived from token overlap with the reference protocol.
