question,input_length,rouge_l,latency_ms,token_count
Can I book an inpatient clinical appointment online?,8,0.4448,786.0,178
What documents do I need for a standard clinical lab screening?,11,0.4524,952.0,220
What documents do I need for a standard clinical lab screening?,11,0.4083,777.0,207
What documents do I need for a standard clinical lab screening?,11,0.499,877.0,176
Can I book an inpatient clinical appointment online?,8,0.3965,854.0,289
What documents do I need for a standard clinical lab screening?,11,0.3968,753.0,258
What documents do I need for a standard clinical lab screening?,11,0.4321,609.0,157
What documents do I need for a standard clinical lab screening?,11,0.3338,744.0,205
What documents do I need for a standard clinical lab screening?,11,0.3694,831.0,279
Can I book an inpatient clinical appointment online?,8,0.3746,659.0,156
Can I book an inpatient clinical appointment online?,8,0.4933,777.0,200
Can I book an inpatient clinical appointment online?,8,0.4234,658.0,289
How long does it take to process outpatient laboratory results?,10,0.3928,811.0,206
How long does it take to process outpatient laboratory results?,10,0.3625,838.0,300
How long does it take to process outpatient laboratory results?,10,0.39,771.0,151
What documents do I need for a standard clinical lab screening?,11,0.3899,985.0,258
How long does it take to process outpatient laboratory results?,10,0.4193,694.0,221
What documents do I need for a standard clinical lab screening?,11,0.4611,678.0,205
How long does it take to process outpatient laboratory results?,10,0.4304,604.0,176
What documents do I need for a standard clinical lab screening?,11,0.3536,820.0,247
What documents do I need for a standard clinical lab screening?,11,0.4569,817.0,241
How long does it take to process outpatient laboratory results?,10,0.4142,770.0,217
What documents do I need for a standard clinical lab screening?,11,0.3461,728.0,267
Can I book an inpatient clinical appointment online?,8,0.397,906.0,181
How long does it take to process outpatient laboratory results?,10,0.4372,624.0,170
Can I book an inpatient clinical appointment online?,8,0.4362,761.0,225
Can I book an inpatient clinical appointment online?,8,0.3862,861.0,242
Can I book an inpatient clinical appointment online?,8,0.4715,893.0,199
Can I book an inpatient clinical appointment online?,8,0.378,769.0,167
What documents do I need for a standard clinical lab screening?,11,0.4366,898.0,208
How long does it take to process outpatient laboratory results?,10,0.396,781.0,170
What documents do I need for a standard clinical lab screening?,11,0.3647,680.0,175
How long does it take to process outpatient laboratory results?,10,0.4606,936.0,221
How long does it take to process outpatient laboratory results?,10,0.4164,900.0,243
What documents do I need for a standard clinical lab screening?,11,0.4381,735.0,244
How long does it take to process outpatient laboratory results?,10,0.4381,954.0,203
Can I book an inpatient clinical appointment online?,8,0.4182,956.0,218
Can I book an inpatient clinical appointment online?,8,0.289,882.0,168
Can I book an inpatient clinical appointment online?,8,0.4244,770.0,193
Can I book an inpatient clinical appointment online?,8,0.4246,601.0,212
What documents do I need for a standard clinical lab screening?,11,0.409,836.0,268
How long does it take to process outpatient laboratory results?,10,0.4939,748.0,219
Can I book an inpatient clinical appointment online?,8,0.3796,750.0,292
What documents do I need for a standard clinical lab screening?,11,0.4658,833.0,233
What documents do I need for a standard clinical lab screening?,11,0.3935,851.0,208
What documents do I need for a standard clinical lab screening?,11,0.4249,897.0,230
How long does it take to process outpatient laboratory results?,10,0.3849,767.0,218
What documents do I need for a standard clinical lab screening?,11,0.4004,654.0,204
Can I book an inpatient clinical appointment online?,8,0.4348,826.0,230
What documents do I need for a standard clinical lab screening?,11,0.4203,777.0,277
How long does it take to process outpatient laboratory results?,10,0.3492,758.0,267
What documents do I need for a standard clinical lab screening?,11,0.4029,720.0,217
What documents do I need for a standard clinical lab screening?,11,0.4119,840.0,213
Can I book an inpatient clinical appointment online?,8,0.5143,817.0,293
Can I book an inpatient clinical appointment online?,8,0.4329,793.0,217
Can I book an inpatient clinical appointment online?,8,0.3241,797.0,299
How long does it take to process outpatient laboratory results?,10,0.423,1046.0,299
