question,input_length,rouge_l,latency_ms,token_count
What documents do I need for a standard clinical lab screening?,13,0.368,875.0,162
My infant has a sudden rash and high fever - what are my triage options?,9,0.3549,813.0,164
My infant has a sudden rash and high fever - what are my triage options?,13,0.4192,715.0,225
How long does it take to process outpatient laboratory results?,9,0.4233,913.0,289
Can I book an inpatient clinical appointment online?,11,0.377,837.0,284
What documents do I need for a standard clinical lab screening?,14,0.4175,782.0,274
My infant has a sudden rash and high fever - what are my triage options?,10,0.4811,785.0,252
My infant has a sudden rash and high fever - what are my triage options?,13,0.4466,837.0,179
Can I book an inpatient clinical appointment online?,9,0.4415,1014.0,205
Has the new MoH policy changed our clinical referral rules?,10,0.3793,862.0,199
My infant has a sudden rash and high fever - what are my triage options?,9,0.4143,716.0,199
How long does it take to process outpatient laboratory results?,11,0.4572,854.0,251
My infant has a sudden rash and high fever - what are my triage options?,13,0.4316,812.0,285
How long does it take to process outpatient laboratory results?,9,0.4312,868.0,253
Has the new MoH policy changed our clinical referral rules?,8,0.4345,863.0,221
My infant has a sudden rash and high fever - what are my triage options?,9,0.3965,736.0,267
What documents do I need for a standard clinical lab screening?,8,0.4947,713.0,248
Can I book an inpatient clinical appointment online?,13,0.4033,816.0,235
Can I book an inpatient clinical appointment online?,11,0.4556,879.0,241
What documents do I need for a standard clinical lab screening?,10,0.4629,781.0,215
Has the new MoH policy changed our clinical referral rules?,13,0.3633,708.0,279
How long does it take to process outpatient laboratory results?,14,0.4545,757.0,194
Can I book an inpatient clinical appointment online?,13,0.4513,769.0,213
Has the new MoH policy changed our clinical referral rules?,10,0.4018,762.0,175
My infant has a sudden rash and high fever - what are my triage options?,13,0.4443,753.0,285
Can I book an inpatient clinical appointment online?,14,0.4423,867.0,172
What documents do I need for a standard clinical lab screening?,10,0.3988,792.0,241
How long does it take to process outpatient laboratory results?,14,0.3539,700.0,163
How long does it take to process outpatient laboratory results?,14,0.3747,762.0,265
Has the new MoH policy changed our clinical referral rules?,9,0.4569,707.0,267
My infant has a sudden rash and high fever - what are my triage options?,9,0.3725,766.0,169
Can I book an inpatient clinical appointment online?,12,0.4417,824.0,180
Can I book an inpatient clinical appointment online?,9,0.3477,807.0,224
